danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name
0.602,0.676,9,-4.423,1,0.0922,0.00414,0,0.186,0.391,167.916,audio_features,6QKtCL5SUseSpvEMJpJPOa,spotify:track:6QKtCL5SUseSpvEMJpJPOa,https://api.spotify.com/v1/tracks/6QKtCL5SUseSpvEMJpJPOa,https://api.spotify.com/v1/audio-analysis/6QKtCL5SUseSpvEMJpJPOa,214186,4,California Friends
0.467,0.794,1,-6.174,0,0.0349,8.39e-5,0.00204,0.103,0.589,162.435,audio_features,44psOy0D0SP8rcIiUgKgBs,spotify:track:44psOy0D0SP8rcIiUgKgBs,https://api.spotify.com/v1/tracks/44psOy0D0SP8rcIiUgKgBs,https://api.spotify.com/v1/audio-analysis/44psOy0D0SP8rcIiUgKgBs,209187,4,Tightrope
0.643,0.833,0,-6.091,1,0.0432,0.00386,0,0.151,0.53,129.974,audio_features,5YJZgqCK7sgr07YZJOnfTY,spotify:track:5YJZgqCK7sgr07YZJOnfTY,https://api.spotify.com/v1/tracks/5YJZgqCK7sgr07YZJOnfTY,https://api.spotify.com/v1/audio-analysis/5YJZgqCK7sgr07YZJOnfTY,262320,4,Fixin'
0.498,0.777,5,-6.904,1,0.0424,0.00193,0,0.254,0.486,89.967,audio_features,55QVNnLD7LeAToBotul8VX,spotify:track:55QVNnLD7LeAToBotul8VX,https://api.spotify.com/v1/tracks/55QVNnLD7LeAToBotul8VX,https://api.spotify.com/v1/audio-analysis/55QVNnLD7LeAToBotul8VX,234520,4,What I Know
0.492,0.779,3,-5.022,1,0.0498,0.0292,0,0.129,0.445,104.966,audio_features,1F5A4LpF8ylUVtPoMAvNvn,spotify:track:1F5A4LpF8ylUVtPoMAvNvn,https://api.spotify.com/v1/tracks/1F5A4LpF8ylUVtPoMAvNvn,https://api.spotify.com/v1/audio-analysis/1F5A4LpF8ylUVtPoMAvNvn,196027,4,Raspberry
0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-5,0.139,0.466,134.48,audio_features,72Z17vmmeQKAg8bptWvpVG,spotify:track:72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/tracks/72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/audio-analysis/72Z17vmmeQKAg8bptWvpVG,318027,4,Space Oddity - 2015 Remaster
0.475,0.624,11,-8.698,0,0.0291,0.0258,2.29e-4,0.181,0.779,173.078,audio_features,644hazYIWNQq4URUn7CPnQ,spotify:track:644hazYIWNQq4URUn7CPnQ,https://api.spotify.com/v1/tracks/644hazYIWNQq4URUn7CPnQ,https://api.spotify.com/v1/audio-analysis/644hazYIWNQq4URUn7CPnQ,152761,4,Disco
0.559,0.89,11,-5.188,1,0.0387,0.00837,0.00759,0.103,0.809,91.509,audio_features,0SBariQWfKjoslW2XSIFOm,spotify:track:0SBariQWfKjoslW2XSIFOm,https://api.spotify.com/v1/tracks/0SBariQWfKjoslW2XSIFOm,https://api.spotify.com/v1/audio-analysis/0SBariQWfKjoslW2XSIFOm,216427,4,Seventeen
0.574,0.495,1,-7.893,0,0.0479,0.137,6.52e-4,0.114,0.549,145.085,audio_features,4fY6EU3jUQQISiUR8DLXuM,spotify:track:4fY6EU3jUQQISiUR8DLXuM,https://api.spotify.com/v1/tracks/4fY6EU3jUQQISiUR8DLXuM,https://api.spotify.com/v1/audio-analysis/4fY6EU3jUQQISiUR8DLXuM,215360,4,Sweet FA
0.307,0.659,0,-7.397,1,0.044,0.0132,0.102,0.0951,0.339,157.311,audio_features,5iaREHROxVSyTsotlzhCdd,spotify:track:5iaREHROxVSyTsotlzhCdd,https://api.spotify.com/v1/tracks/5iaREHROxVSyTsotlzhCdd,https://api.spotify.com/v1/audio-analysis/5iaREHROxVSyTsotlzhCdd,380267,4,Spectacular Views
