"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","person"
"114",0.549,0.807,7,-4.816,1,0.0386,0.00533,0.4,0.103,0.747,175.803,"audio_features","0Ygqbr8k7lp9VQpmRWVkzY","spotify:track:0Ygqbr8k7lp9VQpmRWVkzY","https://api.spotify.com/v1/tracks/0Ygqbr8k7lp9VQpmRWVkzY","https://api.spotify.com/v1/audio-analysis/0Ygqbr8k7lp9VQpmRWVkzY",189656,4,"Bichulae (feat. Luli Lee)","Hope Hahn"
"115",0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,"audio_features","3YuaBvuZqcwN3CEAyyoaei","spotify:track:3YuaBvuZqcwN3CEAyyoaei","https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei","https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei",293960,4,"Like a Stone","Hope Hahn"
"116",0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,"audio_features","5S5u0EWtlblH00iTNExZ6X","spotify:track:5S5u0EWtlblH00iTNExZ6X","https://api.spotify.com/v1/tracks/5S5u0EWtlblH00iTNExZ6X","https://api.spotify.com/v1/audio-analysis/5S5u0EWtlblH00iTNExZ6X",278293,4,"I Think I Like When It Rains","Hope Hahn"
"117",0.363,0.499,5,-10.099,0,0.0335,0.00163,0.522,0.123,0.532,137.804,"audio_features","2TeYAizye4GlmzQq5zyf91","spotify:track:2TeYAizye4GlmzQq5zyf91","https://api.spotify.com/v1/tracks/2TeYAizye4GlmzQq5zyf91","https://api.spotify.com/v1/audio-analysis/2TeYAizye4GlmzQq5zyf91",284770,4,"The Physical Attractions","Hope Hahn"
"118",0.667,0.73,5,-8.411,1,0.0457,0.137,0.911,0.0706,0.375,165.834,"audio_features","6LwYUSaVJLdTwrziHEUSxM","spotify:track:6LwYUSaVJLdTwrziHEUSxM","https://api.spotify.com/v1/tracks/6LwYUSaVJLdTwrziHEUSxM","https://api.spotify.com/v1/audio-analysis/6LwYUSaVJLdTwrziHEUSxM",174000,4,"Japan","Hope Hahn"
"119",0.519,0.666,8,-7.576,1,0.0318,0.0108,0.000623,0.0781,0.603,139.94,"audio_features","7xLfmCx9jcZNgzlIK7NupN","spotify:track:7xLfmCx9jcZNgzlIK7NupN","https://api.spotify.com/v1/tracks/7xLfmCx9jcZNgzlIK7NupN","https://api.spotify.com/v1/audio-analysis/7xLfmCx9jcZNgzlIK7NupN",205714,4,"Stress Relief","Hope Hahn"
"120",0.639,0.893,9,-6.509,1,0.036,0.289,0.00816,0.222,0.966,126.143,"audio_features","5jkFvD4UJrmdoezzT1FRoP","spotify:track:5jkFvD4UJrmdoezzT1FRoP","https://api.spotify.com/v1/tracks/5jkFvD4UJrmdoezzT1FRoP","https://api.spotify.com/v1/audio-analysis/5jkFvD4UJrmdoezzT1FRoP",351573,4,"Rasputin","Hope Hahn"
"121",0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,"audio_features","1tm7c4V0kqLiN0XPVnoUcT","spotify:track:1tm7c4V0kqLiN0XPVnoUcT","https://api.spotify.com/v1/tracks/1tm7c4V0kqLiN0XPVnoUcT","https://api.spotify.com/v1/audio-analysis/1tm7c4V0kqLiN0XPVnoUcT",205766,4,"Runnin' Thru the 7th with My Woadies","Hope Hahn"
"122",0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,"audio_features","6tO5bxNnMuh1c3cziSpecA","spotify:track:6tO5bxNnMuh1c3cziSpecA","https://api.spotify.com/v1/tracks/6tO5bxNnMuh1c3cziSpecA","https://api.spotify.com/v1/audio-analysis/6tO5bxNnMuh1c3cziSpecA",111020,4,"Paris","Hope Hahn"
"123",0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,"audio_features","0kEZlJh4mK1QRfb3CT5LPk","spotify:track:0kEZlJh4mK1QRfb3CT5LPk","https://api.spotify.com/v1/tracks/0kEZlJh4mK1QRfb3CT5LPk","https://api.spotify.com/v1/audio-analysis/0kEZlJh4mK1QRfb3CT5LPk",145078,4,"Kill Yourself (Part III)","Hope Hahn"
"124",0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,"audio_features","6tDDoYIxWvMLTdKpjFkc1B","spotify:track:6tDDoYIxWvMLTdKpjFkc1B","https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B","https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B",160191,4,"telepatía","Hope Hahn"
